Customer_ID,Age,Gender,Annual_Income,Employment_Years,Monthly_Income,Existing_Loan,EMI,Credit_Card_Utilization,Missed_Payments,Savings,Loan_History,Credit_Score
C001,22,Female,1487720,24,123976,52765,10831,80,1,216849,Average,689
C002,39,Male,1064970,34,88747,471965,8992,22,4,1276546,Good,695
C003,35,Male,1798168,14,149847,403979,45921,84,2,566074,Average,653
C004,32,Female,429238,14,35769,336854,36430,16,4,1126794,Excellent,701
C005,30,Female,1315064,15,109588,811915,11384,79,5,1460876,Good,654
C006,50,Female,798544,8,66545,514324,28356,55,6,1198007,Good,615
C007,33,Female,1079859,4,89988,196533,19172,33,2,1178398,Average,644
C008,41,Female,872304,22,72692,794334,11655,13,3,322997,Excellent,729
C009,58,Female,1092456,22,91038,446182,25338,58,5,164336,Average,616
C010,28,Female,1617677,13,134806,739232,23504,11,5,216312,Good,638
C011,54,Female,577153,10,48096,286486,44414,18,4,1334079,Excellent,688
C012,35,Female,373042,13,31086,647686,16858,40,3,1050934,Average,652
C013,39,Male,1497705,6,124808,94672,31894,19,4,936665,Good,646
C014,33,Male,1411304,23,117608,102886,32555,11,8,660782,Good,612
C015,35,Female,672894,23,56074,1168674,18252,38,0,1062417,Poor,663
C016,58,Female,271285,6,22607,274462,16704,59,6,536204,Good,600
C017,49,Female,584169,15,48680,189035,43632,86,7,506571,Good,601
C018,36,Male,927575,35,77297,1118321,27835,75,4,1062174,Good,684
C019,47,Male,937390,3,78115,56419,9417,46,7,909842,Good,585
C020,36,Male,1333920,14,111160,580091,45414,91,5,656394,Good,635
C021,35,Male,1425490,16,118790,363365,11549,17,6,304632,Good,632
C022,39,Female,368373,11,30697,250056,37090,74,4,259430,Excellent,670
C023,49,Female,1333950,18,111162,892447,44752,83,7,1191210,Good,620
C024,42,Male,1251547,10,104295,69055,22449,67,7,15855,Good,582
C025,23,Male,1225229,16,102102,80455,8565,32,3,473729,Average,653
C026,50,Male,1452780,6,121065,121543,13074,41,5,1384528,Good,631
C027,35,Male,1373878,22,114489,597640,26365,5,1,908620,Good,745
C028,56,Male,1175420,0,97951,861485,31252,70,6,1421759,Good,588
C029,34,Male,356328,25,29694,307950,28676,36,0,1248899,Good,761
C030,35,Female,1636963,17,136413,670821,34616,9,3,364484,Good,687
C031,59,Male,837204,15,69767,859064,17532,28,0,600264,Good,741
C032,31,Female,1406096,10,117174,202207,9587,31,6,1051302,Excellent,658
C033,40,Female,319112,26,26592,573134,49668,13,8,887943,Good,613
C034,37,Female,256349,21,21362,217425,46577,25,4,1098836,Poor,586
C035,23,Male,389953,18,32496,228224,17096,30,7,1274214,Poor,532
C036,27,Male,1722573,19,143547,354251,5521,5,4,455321,Good,683
C037,56,Female,928335,1,77361,169462,8871,89,3,239275,Good,631
C038,34,Male,749812,2,62484,298104,7479,28,0,634755,Excellent,734
C039,59,Female,606285,18,50523,223927,7203,61,4,1111172,Good,684
C040,27,Female,1590143,29,132511,739508,278,79,7,1086822,Average,600
C041,46,Female,1020897,21,85074,1087680,24337,53,4,647229,Excellent,710
C042,30,Female,1134036,16,94503,430852,47161,29,2,62704,Good,691
C043,26,Female,711354,7,59279,642838,43193,45,0,635114,Average,675
C044,31,Male,1124516,24,93709,273475,34372,62,2,1132489,Good,721
C045,26,Female,1673767,16,139480,336409,42002,56,5,269450,Good,638
C046,28,Male,1368285,33,114023,388416,40074,47,3,1424966,Good,703
C047,46,Female,1482011,3,123500,1125472,29389,61,1,53536,Good,670
C048,43,Female,1252213,22,104351,371683,11542,20,7,233721,Good,624
C049,38,Female,1553503,0,129458,35422,44015,16,0,548175,Excellent,720
C050,47,Male,1396264,18,116355,745529,30620,42,3,242714,Good,683
C051,30,Female,528448,7,44037,1132114,20200,32,2,235571,Good,671
C052,35,Male,957973,19,79831,226217,12349,92,0,1360179,Average,719
C053,48,Male,918356,35,76529,319668,24205,25,1,511428,Poor,635
C054,42,Female,1524648,4,127054,1113107,29621,77,4,353285,Poor,523
C055,37,Female,255753,3,21312,780639,8629,52,0,795339,Poor,607
C056,32,Female,1473021,28,122751,967325,37260,13,5,916905,Average,635
C057,52,Female,1171166,10,97597,1019228,39803,81,0,496751,Good,712
C058,53,Female,1550708,14,129225,109268,8464,25,2,736126,Good,706
C059,58,Female,922054,21,76837,1092606,19004,35,7,616517,Poor,529
C060,42,Female,1341360,34,111780,721620,42571,65,1,159868,Poor,619
C061,51,Male,862389,5,71865,873917,37852,85,2,80176,Good,653
C062,50,Male,525088,15,43757,638110,11880,87,3,506866,Good,679
C063,47,Female,591010,23,49250,1049057,45826,27,4,185523,Good,669
C064,59,Male,1351829,27,112652,863726,8555,38,2,979448,Average,693
C065,29,Male,645597,0,53799,1081992,41596,59,3,48747,Average,586
C066,34,Female,668614,33,55717,68347,1699,95,0,696807,Good,752
C067,45,Female,546561,2,45546,14862,24320,8,4,941861,Good,637
C068,33,Male,1029896,15,85824,491705,24293,36,6,429308,Excellent,657
C069,38,Male,622936,33,51911,185236,18472,18,0,617217,Poor,657
C070,23,Female,1137003,8,94750,89901,1185,22,1,363844,Good,701
C071,45,Female,1504186,20,125348,535251,25666,39,2,632840,Poor,617
C072,21,Male,430580,0,35881,588693,9034,20,4,890342,Good,632
C073,29,Male,693497,16,57791,373770,34497,58,4,690753,Average,631
C074,41,Male,1766221,35,147185,557703,6500,16,3,606767,Good,705
C075,60,Female,467465,11,38955,1107651,19826,20,2,847896,Excellent,728
