Customer_ID,Age,Income,Savings,Credit_Score,Loan_Amount,Spending_Score,Customer_Segment
C001,30,1693670,535463,545,282677,73,Gold
C002,50,821957,720098,707,573822,84,Gold
C003,43,1442118,862614,686,1005175,34,Gold
C004,43,1775751,707780,415,437432,63,Gold
C005,56,961363,23665,775,662745,45,Gold
C006,48,1446810,1411445,817,830767,69,Platinum
C007,51,1452782,1431122,547,1131680,51,Gold
C008,34,1585832,65802,822,79547,81,Platinum
C009,43,1685981,1071497,853,238656,91,Platinum
C010,52,307564,439098,525,28877,97,Silver
C011,41,659195,62628,658,958739,87,Silver
C012,53,897591,370122,396,681649,82,Gold
C013,27,966708,304604,576,817425,22,Gold
C014,31,673973,926697,415,326609,25,Silver
C015,45,1329401,1336590,687,129172,27,Gold
C016,27,488924,177632,687,974115,100,Silver
C017,28,1259882,654477,369,267783,12,Gold
C018,51,770986,70357,385,118132,3,Gold
C019,53,1667386,1351249,679,525030,2,Gold
C020,56,324339,433419,754,221481,3,Silver
C021,36,1734808,1470273,816,139246,74,Platinum
C022,33,288491,1226318,424,1174701,87,Silver
C023,51,478512,1383337,473,428296,36,Silver
C024,45,1768667,733218,557,481278,24,Gold
C025,50,1683100,1300721,809,413557,12,Platinum
C026,34,1602012,541256,472,327154,12,Gold
C027,27,1312429,1359129,591,1154315,50,Gold
C028,28,463382,567491,474,785185,87,Silver
C029,55,1766990,555858,800,929096,67,Platinum
C030,24,1772682,758257,593,768632,83,Gold
C031,44,852406,673838,490,791836,81,Gold
C032,53,1305962,747892,701,127194,40,Gold
C033,41,1119388,776788,632,1185144,83,Gold
C034,30,1280469,1432884,407,415889,68,Gold
C035,38,832615,231770,687,1135161,46,Gold
C036,36,1573390,788305,645,402480,35,Gold
C037,22,1693653,727819,438,356883,61,Gold
C038,33,1518638,538740,460,512068,30,Gold
C039,25,339899,1406340,772,1026494,49,Silver
C040,44,1023279,1307064,642,816295,81,Gold
C041,34,905441,1300079,523,294145,37,Gold
C042,45,957778,323345,739,311876,43,Gold
C043,34,1356223,845694,449,390057,66,Gold
C044,40,537028,986908,819,810704,34,Silver
C045,26,638562,660695,460,281819,60,Silver
C046,45,1404290,209928,377,90581,55,Gold
C047,31,376305,1380483,367,859102,89,Silver
C048,59,1743050,1014947,726,683926,60,Gold
C049,49,1105991,482735,579,528839,94,Gold
C050,58,985031,1235415,382,477933,20,Gold
C051,28,1065449,335079,731,866719,20,Gold
C052,41,641293,540811,631,190678,42,Silver
C053,51,1296894,457754,542,951123,3,Gold
C054,21,668846,1217713,714,978057,88,Silver
C055,25,380011,584043,713,946610,17,Silver
C056,60,1275612,538900,789,48566,81,Platinum
C057,47,375510,630605,795,652062,82,Silver
C058,54,1455224,1161221,602,530473,79,Gold
C059,27,621756,1495700,431,410916,91,Silver
C060,30,1233547,171494,698,1192534,69,Gold
C061,41,605640,1266662,875,530895,85,Silver
C062,28,1613125,1042991,761,563580,37,Platinum
C063,47,1005907,867426,568,149878,44,Gold
C064,30,411239,379826,443,838090,54,Silver
C065,56,1119492,519756,611,53429,78,Gold
C066,53,1768438,347793,411,970103,82,Gold
C067,32,1569256,868302,423,930487,69,Gold
C068,29,1515146,814720,825,426133,47,Platinum
C069,56,428710,760143,665,963212,35,Silver
C070,53,847542,1209114,850,226936,64,Gold
C071,22,518950,214323,788,1140373,63,Silver
C072,56,446658,509757,375,781466,49,Silver
C073,60,323879,716231,802,330669,43,Silver
C074,32,607349,917730,638,940044,11,Silver
C075,48,338193,240998,546,365800,79,Silver
C076,58,1286636,1071127,625,62108,63,Gold
C077,46,784075,1190174,461,314896,44,Gold
C078,30,837141,498616,868,725823,61,Gold
C079,22,1601893,216647,807,353871,86,Platinum
C080,33,1209363,291594,658,1104175,74,Gold
C081,41,1156299,130194,362,551229,71,Gold
C082,44,1311482,1493009,664,397662,61,Gold
C083,55,1236861,1117882,817,779296,69,Platinum
C084,42,516215,729291,724,894848,28,Silver
C085,49,1522940,522904,446,272839,46,Gold
C086,21,746673,555852,544,1182931,47,Gold
C087,57,882098,528599,711,1111203,17,Gold
C088,35,463768,1299787,501,303168,34,Silver
C089,53,1354023,1267611,832,515356,24,Platinum
C090,45,727463,353286,448,528324,90,Gold
C091,50,922377,1166070,755,138109,94,Gold
C092,50,1346191,1289652,568,781346,18,Gold
C093,40,1720358,241379,585,982608,83,Gold
C094,59,1687902,887497,477,496222,90,Gold
C095,31,619675,792357,702,1113770,82,Silver
C096,46,955486,980203,822,497290,30,Gold
C097,44,1028558,859806,476,745196,49,Gold
C098,57,694986,199885,516,226963,100,Silver
C099,27,864324,1470505,790,697519,83,Gold
C100,47,391767,186272,612,1085848,70,Silver
C101,44,1568017,171131,484,310616,76,Gold
C102,48,679025,575245,377,833317,87,Silver
C103,50,1685671,1079392,361,100608,97,Gold
C104,53,805346,477028,855,604719,65,Gold
C105,60,1636406,1016376,405,507549,38,Gold
C106,36,1011660,267829,634,713631,27,Gold
C107,46,842861,1001801,892,304177,31,Gold
C108,49,1747631,397009,535,783453,97,Gold
C109,58,336899,1330427,500,103381,94,Silver
C110,56,1066493,1396900,505,769398,55,Gold
C111,55,766818,275895,806,611961,25,Gold
C112,44,383467,890716,832,1119231,41,Silver
C113,54,271003,1236326,798,1108188,61,Silver
C114,35,552469,729057,777,278826,80,Silver
C115,57,1644458,1121734,898,302539,86,Platinum
C116,45,682049,818468,828,739051,33,Silver
C117,42,1132261,458071,509,534212,15,Gold
C118,41,495272,1468626,406,599524,66,Silver
C119,24,378575,778463,372,309190,24,Silver
C120,21,702630,212950,737,949293,59,Gold
C121,46,813719,1124587,852,448942,9,Gold
C122,58,1112638,297732,382,1043884,41,Gold
C123,47,334906,1178834,354,998400,85,Silver
C124,53,779349,1093018,650,1138567,61,Gold
C125,33,293898,682919,605,1085453,3,Silver
C126,36,485297,1083772,822,628073,70,Silver
C127,26,1237485,1323321,793,346521,92,Platinum
C128,53,1536762,1294779,354,436938,30,Gold
C129,21,898142,31541,449,243075,77,Gold
C130,28,1207007,400892,515,144524,20,Gold
C131,56,857268,598353,738,611487,38,Gold
C132,24,478898,1302766,781,761684,20,Silver
C133,52,1360922,147250,700,1173277,67,Gold
C134,34,697793,686444,351,76156,76,Silver
C135,43,1619170,1353406,861,156858,75,Platinum
C136,32,694226,1146326,673,786447,59,Silver
C137,51,646817,621862,831,325672,3,Silver
C138,30,948831,1095132,826,1114390,76,Gold
C139,44,1558598,1406285,444,430596,55,Gold
C140,26,1328044,765484,455,651970,91,Gold
C141,55,1185926,1493305,650,838985,65,Gold
C142,46,1113529,223924,591,1032855,26,Gold
C143,60,697881,1012453,821,1061207,35,Silver
C144,45,1658747,969169,837,145902,100,Platinum
C145,22,1241743,12628,706,632295,43,Gold
C146,47,641867,464773,654,491310,4,Silver
C147,27,1792337,248865,649,958026,45,Gold
C148,54,1696028,567959,785,1117099,46,Platinum
C149,47,1447837,820002,420,216529,74,Gold
C150,21,1794497,575790,537,387369,64,Gold
C151,32,631730,979393,507,1029280,82,Silver
C152,40,1088049,1295208,360,238775,51,Gold
C153,24,1591081,1343638,432,501868,25,Gold
C154,55,1192460,97082,384,359625,41,Gold
C155,52,966460,529745,532,861562,66,Gold
C156,42,1208549,1489280,741,26749,25,Gold
C157,39,718283,835012,530,576835,20,Gold
C158,29,1633781,672467,730,672809,90,Gold
C159,25,1291810,865223,876,381470,8,Platinum
C160,59,1306185,590543,893,1152305,37,Platinum
C161,32,322452,903571,706,617711,62,Silver
C162,31,1753436,1326200,364,1034010,54,Gold
C163,30,602948,1407700,624,402263,36,Silver
C164,38,1603691,50805,865,356536,88,Platinum
C165,46,1480653,1026384,562,1058505,66,Gold
C166,27,838887,1415279,510,498042,97,Gold
C167,32,956326,1152694,751,352471,98,Gold
C168,45,1688155,1044041,397,524181,87,Gold
C169,32,1320730,805100,361,991060,40,Gold
C170,55,1275761,523881,803,123822,51,Platinum
C171,52,1096230,871745,866,1045277,61,Gold
C172,46,1652343,529548,563,406049,80,Gold
C173,30,947877,119262,516,80449,67,Gold
C174,36,926151,1491530,698,845839,8,Gold
C175,58,861427,704036,862,136999,95,Gold
C176,22,796927,1079910,707,328718,22,Gold
C177,55,1794776,140310,705,1056362,47,Gold
C178,41,1654106,947567,686,1174390,34,Gold
C179,21,1262207,1389609,442,880452,80,Gold
C180,30,555006,89285,365,499997,92,Silver
C181,44,484699,1207910,452,1057136,7,Silver
C182,33,365281,1294023,726,991205,59,Silver
C183,59,477170,379835,681,1026980,72,Silver
C184,53,1628009,1496007,810,1024080,22,Platinum
C185,38,1225199,1301617,514,738121,100,Gold
C186,29,346005,30624,797,1128899,45,Silver
C187,43,425862,1013998,551,412462,51,Silver
C188,52,326947,1348124,859,87588,73,Silver
C189,59,1589245,901095,867,866246,71,Platinum
C190,43,693196,94616,370,586616,13,Silver
C191,58,1719863,459383,699,952775,13,Gold
C192,41,480749,652972,866,773030,44,Silver
C193,30,1743183,1154910,401,1175926,15,Gold
C194,54,841552,568537,762,1133793,45,Gold
C195,57,952034,1202985,515,855261,4,Gold
C196,32,323661,552725,898,470457,89,Silver
C197,44,1345183,200962,674,741430,16,Gold
C198,36,1397908,509363,368,848918,46,Gold
C199,58,575682,1083022,882,64389,2,Silver
C200,47,565367,215722,886,366481,36,Silver
C201,32,401492,972817,456,604988,68,Silver
C202,32,1556295,829500,756,980174,72,Platinum
C203,30,320618,675250,406,403853,48,Silver
C204,26,1640213,408793,522,805192,35,Gold
C205,49,1662759,991945,860,957582,11,Platinum
C206,46,1579850,614296,816,79402,92,Platinum
C207,28,819847,183817,625,811094,28,Gold
C208,56,1646023,680512,381,929344,64,Gold
C209,44,1260740,303812,384,1171362,5,Gold
C210,27,743642,1181188,792,107430,93,Gold
C211,41,1279719,947051,416,276366,82,Gold
C212,60,547237,273287,674,777896,51,Silver
C213,48,928338,284411,883,22117,82,Gold
C214,54,818069,1087547,897,56682,37,Gold
C215,33,1653476,1339910,620,1143304,53,Gold
C216,60,1317990,888573,817,149827,35,Platinum
C217,58,1193739,952504,396,1004764,48,Gold
C218,43,596003,1455044,755,203154,42,Silver
C219,41,984467,1308097,726,411694,28,Gold
C220,50,967181,317220,476,617905,19,Gold
C221,53,1095798,449983,645,97940,27,Gold
C222,41,644145,1424241,507,393632,100,Silver
C223,45,786836,235929,599,1006851,92,Gold
C224,38,387362,1367813,793,66949,100,Silver
C225,47,1487270,688540,772,590126,91,Platinum
C226,38,311956,927766,758,521972,17,Silver
C227,44,890996,460810,751,1045986,54,Gold
C228,25,498176,1176116,835,806320,55,Silver
C229,36,1514001,990174,542,753637,18,Gold
C230,27,1609785,1243279,384,4620,95,Gold
C231,26,1066768,388559,838,356615,94,Gold
C232,27,1756612,38697,779,488750,13,Platinum
C233,34,1205479,1083272,517,208084,42,Gold
C234,43,1459598,33620,495,593737,20,Gold
C235,31,1223776,496638,546,1179569,76,Gold
C236,35,1103890,451356,547,716437,4,Gold
C237,26,731573,1280449,471,1094208,69,Gold
C238,42,1271955,1181914,880,687153,3,Platinum
C239,29,1295538,1119247,847,801974,42,Platinum
C240,42,809348,75285,881,427873,76,Gold
C241,48,752042,69659,516,142116,70,Gold
C242,49,1382671,560539,447,150506,82,Gold
C243,38,390748,242220,402,689013,28,Silver
C244,46,680679,639371,525,1082014,83,Silver
C245,53,1238860,58398,819,516117,33,Platinum
C246,29,896307,264760,856,590391,16,Gold
C247,49,467977,230248,872,603000,7,Silver
C248,49,1107445,615503,795,933842,35,Gold
C249,59,1040956,701162,595,438283,35,Gold
C250,26,546631,174050,602,763769,62,Silver
C251,31,1563176,1016168,358,202737,78,Gold
C252,55,1726344,1461136,393,914452,38,Gold
C253,23,1412666,546397,500,790906,8,Gold
C254,28,1299904,389723,622,1077285,43,Gold
C255,22,260751,225864,878,335846,59,Silver
C256,53,1144643,150670,773,590283,32,Gold
C257,55,1385648,953302,678,3345,88,Gold
C258,55,1486961,690042,703,53437,70,Gold
C259,32,793626,1318845,715,12612,16,Gold
C260,33,1647856,1228175,841,31158,46,Platinum
C261,60,1305426,263774,408,714233,90,Gold
C262,52,1449006,133469,778,515414,21,Platinum
C263,25,1386937,776745,891,357131,43,Platinum
C264,60,455447,1101000,885,89256,73,Silver
C265,53,492255,514784,590,485490,72,Silver
C266,58,1531756,616480,435,213867,37,Gold
