Transaction_ID,Customer_ID,Amount,Transaction_Type,Location,Device,Hour,Merchant_Category,International,Fraud
T001,C297,18600,IMPS,Mumbai,Mobile,5,Retail,0,0
T002,C263,186967,Card,Bengaluru,ATM,21,Travel,1,1
T003,C285,122173,Card,Delhi,Web,22,Electronics,0,0
T004,C056,81085,Card,Bengaluru,Mobile,3,Travel,1,1
T005,C378,10201,NEFT,Delhi,Web,3,Travel,0,1
T006,C278,7028,NEFT,Mumbai,ATM,10,Fuel,1,0
T007,C175,196969,UPI,Pune,Web,22,Food,0,0
T008,C286,16529,UPI,Bengaluru,Mobile,11,Food,0,0
T009,C488,42334,UPI,Bengaluru,Mobile,3,Travel,1,1
T010,C276,159496,UPI,Bengaluru,Web,13,Travel,0,0
T011,C159,154099,Card,Bengaluru,Web,8,Fuel,1,1
T012,C108,159294,Card,Mumbai,ATM,18,Fuel,1,1
T013,C066,51902,IMPS,Pune,ATM,17,Travel,0,0
T014,C218,56273,IMPS,Pune,Mobile,12,Travel,1,0
T015,C140,75500,UPI,Mumbai,Mobile,8,Retail,1,0
T016,C405,39916,Card,Pune,ATM,15,Travel,0,0
T017,C243,188495,IMPS,Delhi,Web,21,Travel,1,1
T018,C351,85199,UPI,Pune,Mobile,20,Fuel,0,0
T019,C141,157416,NEFT,Pune,ATM,14,Electronics,1,1
T020,C403,144083,UPI,Pune,ATM,7,Fuel,0,0
T021,C488,1593,UPI,Mumbai,ATM,21,Electronics,1,0
T022,C320,4962,Card,Mumbai,Mobile,5,Retail,0,0
T023,C261,131650,NEFT,Bengaluru,Web,22,Electronics,1,1
T024,C222,22792,NEFT,Pune,ATM,15,Travel,0,0
T025,C080,105062,NEFT,Pune,Web,7,Electronics,1,1
T026,C031,165626,Card,Bengaluru,Mobile,19,Retail,1,1
T027,C491,171604,IMPS,Bengaluru,Web,0,Food,1,1
T028,C479,18174,NEFT,Pune,ATM,17,Food,1,0
T029,C037,26336,UPI,Delhi,ATM,16,Food,0,0
T030,C487,25644,IMPS,Bengaluru,Mobile,3,Retail,0,1
T031,C160,49352,UPI,Bengaluru,ATM,3,Electronics,0,1
T032,C086,161653,NEFT,Pune,Web,14,Fuel,1,1
T033,C369,186416,IMPS,Pune,Mobile,0,Electronics,0,1
T034,C162,125722,Card,Pune,ATM,12,Travel,1,1
T035,C288,126259,NEFT,Delhi,Mobile,6,Food,1,1
T036,C106,58166,NEFT,Delhi,Web,9,Retail,0,0
T037,C006,155749,IMPS,Mumbai,Web,10,Electronics,0,0
T038,C105,78873,UPI,Mumbai,ATM,12,Retail,1,0
T039,C213,107539,UPI,Mumbai,Mobile,1,Food,0,1
T040,C376,125035,Card,Delhi,Web,2,Food,1,1
T041,C450,70640,Card,Mumbai,Web,9,Travel,0,0
T042,C082,84676,UPI,Bengaluru,ATM,15,Travel,0,0
T043,C282,146765,NEFT,Pune,ATM,12,Electronics,0,0
T044,C244,112544,UPI,Delhi,Web,5,Retail,1,1
T045,C147,94967,IMPS,Delhi,ATM,7,Electronics,0,0
T046,C339,54768,NEFT,Bengaluru,ATM,21,Food,0,0
T047,C151,72130,Card,Pune,ATM,5,Retail,0,0
T048,C400,94288,Card,Delhi,Web,5,Travel,1,0
T049,C217,123078,NEFT,Delhi,ATM,12,Food,0,0
T050,C338,9738,NEFT,Pune,ATM,10,Food,1,0
T051,C063,10255,Card,Pune,Mobile,1,Food,1,1
T052,C202,76381,NEFT,Mumbai,Web,13,Retail,1,0
T053,C024,155662,UPI,Delhi,ATM,20,Retail,1,1
T054,C142,90058,UPI,Bengaluru,ATM,7,Electronics,0,0
T055,C177,11260,Card,Delhi,Web,23,Retail,0,0
T056,C482,71652,IMPS,Delhi,Web,19,Retail,1,0
T057,C312,109744,IMPS,Pune,Web,19,Fuel,0,0
T058,C343,128354,Card,Pune,ATM,14,Fuel,0,0
T059,C164,171729,IMPS,Mumbai,Web,11,Food,0,0
T060,C302,135000,Card,Bengaluru,Mobile,10,Retail,1,1
T061,C082,131901,NEFT,Mumbai,Mobile,1,Food,1,1
T062,C230,177380,IMPS,Delhi,Web,9,Electronics,1,1
T063,C362,96689,UPI,Pune,Web,23,Travel,0,0
T064,C450,57012,IMPS,Pune,Web,1,Food,0,1
T065,C414,114728,Card,Pune,ATM,18,Retail,1,1
T066,C245,494,IMPS,Bengaluru,Mobile,22,Fuel,0,0
T067,C186,197442,NEFT,Bengaluru,ATM,6,Retail,1,1
T068,C008,112222,NEFT,Mumbai,Mobile,17,Travel,0,0
T069,C149,180352,IMPS,Delhi,Mobile,4,Electronics,0,0
T070,C143,97784,UPI,Bengaluru,ATM,8,Electronics,0,0
T071,C217,113170,IMPS,Mumbai,Web,19,Retail,0,0
T072,C392,163762,NEFT,Bengaluru,Mobile,17,Food,0,0
T073,C307,196282,UPI,Mumbai,Mobile,23,Food,0,0
T074,C490,150781,UPI,Delhi,ATM,20,Fuel,1,1
T075,C203,52583,UPI,Delhi,Mobile,16,Travel,1,0
T076,C271,128275,UPI,Mumbai,ATM,20,Fuel,0,0
T077,C412,187101,NEFT,Mumbai,ATM,21,Food,1,1
T078,C118,19294,UPI,Delhi,Web,7,Travel,0,0
T079,C294,55350,NEFT,Mumbai,Mobile,0,Retail,0,1
T080,C143,39374,NEFT,Delhi,ATM,11,Food,0,0
T081,C025,34160,Card,Bengaluru,Mobile,9,Fuel,0,0
T082,C397,162735,IMPS,Delhi,Mobile,2,Food,0,1
T083,C061,17452,NEFT,Pune,Mobile,10,Electronics,0,0
T084,C227,8507,Card,Mumbai,ATM,6,Travel,1,0
T085,C447,107505,Card,Mumbai,ATM,14,Food,1,1
T086,C278,51257,UPI,Bengaluru,Web,13,Food,1,0
T087,C390,132642,UPI,Bengaluru,Web,0,Travel,0,1
T088,C238,67716,NEFT,Pune,ATM,1,Food,1,1
T089,C146,23430,NEFT,Mumbai,Mobile,14,Electronics,1,0
T090,C261,151208,IMPS,Pune,Mobile,7,Retail,0,0
T091,C211,24946,UPI,Mumbai,Mobile,8,Travel,1,0
T092,C403,11911,NEFT,Delhi,ATM,3,Food,1,1
T093,C360,56106,UPI,Delhi,Mobile,0,Electronics,1,1
T094,C277,145647,NEFT,Bengaluru,Web,17,Retail,0,0
T095,C067,41901,IMPS,Mumbai,Web,20,Travel,0,0
T096,C298,165245,UPI,Mumbai,ATM,14,Fuel,1,1
T097,C023,195705,NEFT,Bengaluru,Mobile,16,Food,1,1
T098,C335,55363,UPI,Delhi,ATM,6,Retail,0,0
T099,C321,64455,UPI,Pune,ATM,1,Electronics,1,1
T100,C076,130782,NEFT,Bengaluru,Web,13,Food,0,0
T101,C246,63894,UPI,Delhi,Web,5,Fuel,1,0
T102,C432,54914,UPI,Bengaluru,Mobile,14,Retail,1,0
T103,C399,141075,NEFT,Mumbai,Web,7,Fuel,0,0
T104,C078,74910,IMPS,Mumbai,ATM,12,Retail,0,0
T105,C291,121605,IMPS,Pune,ATM,23,Electronics,0,0
T106,C388,57395,Card,Pune,Web,17,Travel,0,0
T107,C020,132250,IMPS,Delhi,Mobile,9,Travel,0,0
T108,C080,116494,UPI,Mumbai,Mobile,14,Electronics,0,0
T109,C234,162368,IMPS,Mumbai,Web,11,Food,0,0
T110,C284,162765,Card,Delhi,Mobile,7,Retail,0,0
T111,C102,140158,Card,Mumbai,Mobile,1,Electronics,1,1
T112,C393,87219,UPI,Delhi,ATM,16,Electronics,1,0
T113,C411,38323,NEFT,Delhi,Web,12,Travel,0,0
T114,C376,133911,Card,Mumbai,ATM,13,Travel,1,1
T115,C489,48738,UPI,Mumbai,Web,19,Travel,1,0
T116,C136,137978,Card,Bengaluru,Web,13,Electronics,0,0
T117,C471,125623,UPI,Pune,Mobile,8,Retail,1,1
T118,C423,198856,UPI,Delhi,Web,23,Electronics,0,0
T119,C090,124001,UPI,Pune,Web,10,Fuel,0,0
T120,C375,117733,IMPS,Pune,Web,20,Travel,0,0
T121,C078,160707,Card,Pune,Mobile,21,Travel,1,1
T122,C098,58623,Card,Pune,Web,0,Retail,1,1
T123,C342,127626,Card,Mumbai,Web,9,Retail,1,1
T124,C252,129965,IMPS,Pune,ATM,11,Electronics,0,0
T125,C296,99048,IMPS,Mumbai,Mobile,8,Fuel,0,0
T126,C451,179111,IMPS,Mumbai,Mobile,18,Travel,0,0
T127,C212,156066,Card,Delhi,ATM,11,Food,1,1
T128,C212,163373,UPI,Mumbai,Web,13,Retail,0,0
T129,C286,14641,Card,Pune,Mobile,17,Retail,0,0
