Customer_ID,Age,Income,Loan_Amount,EMI,Employment_Years,Credit_Score,Previous_Defaults,Debt_to_Income,Loan_Default
C001,29,458474,950041,27594,24,891,1,27,0
C002,21,626103,1378290,3184,30,609,2,33,1
C003,46,1744757,817889,8322,10,710,0,29,0
C004,50,525460,468619,3521,14,357,2,41,1
C005,59,368774,378216,12350,21,875,2,33,0
C006,23,902161,1396028,30775,15,873,1,68,0
C007,36,549766,155860,46222,25,797,2,58,0
C008,28,1187008,1127173,47925,24,589,2,60,1
C009,44,859127,1197621,2331,25,722,2,13,0
C010,45,528019,464690,24333,9,513,2,51,1
C011,44,1305213,74265,43240,24,851,1,62,0
C012,51,1629830,487988,8531,7,545,3,64,1
C013,24,960332,92031,14694,9,684,0,42,0
C014,47,1734020,213044,7062,7,699,1,25,0
C015,33,1176446,1266322,43699,7,767,0,56,0
C016,45,358212,1202826,33689,10,355,3,53,1
C017,50,1221264,748884,31119,4,492,1,35,1
C018,34,1074591,379098,32838,0,485,3,20,1
C019,55,1643232,356484,17643,10,840,0,52,0
C020,58,1423108,1016541,48752,27,362,0,73,1
C021,32,397267,950612,17362,7,381,2,49,1
C022,38,1573241,526176,3019,28,571,2,20,1
C023,55,1655595,1272645,27341,1,864,2,10,0
C024,58,1215424,1272278,28922,1,626,0,69,1
C025,37,1284914,914306,22207,21,364,0,69,1
C026,46,353937,341729,40172,13,554,1,35,1
C027,50,390157,1378274,4047,22,759,2,76,0
C028,60,1220286,1010592,45851,7,831,1,21,0
C029,26,556197,1428822,43867,23,603,3,60,1
C030,55,922503,519748,4174,11,439,0,74,1
C031,28,1735430,613422,35768,22,531,3,39,1
C032,35,288093,1047348,25982,14,849,2,18,0
C033,37,1342960,593555,39606,28,884,2,14,0
C034,35,942765,702592,41520,13,711,2,47,0
C035,30,646053,137749,16957,19,859,0,27,0
C036,26,527049,476085,23585,28,897,1,42,0
C037,50,1315617,593470,40961,13,406,0,16,0
C038,52,1123973,432292,29656,0,380,1,30,1
C039,35,1564765,78307,28296,16,782,1,57,0
C040,53,888231,166215,3869,24,707,0,56,0
C041,39,1104973,64453,16095,2,516,0,21,0
C042,28,1159683,174228,41478,8,488,1,58,1
C043,37,1789455,698394,6160,21,717,2,60,0
C044,27,1359997,825217,39903,26,665,0,20,0
C045,51,1772074,296135,2666,21,638,0,18,0
C046,47,452713,1000284,14083,29,406,1,12,1
C047,28,1075066,522218,21271,6,612,1,26,1
C048,38,1405252,371050,18358,30,358,1,19,1
C049,36,1266757,798279,23473,13,867,3,11,0
C050,41,331684,767821,42597,1,814,1,79,0
C051,41,486568,1098759,48791,7,837,0,43,0
C052,36,808014,413955,36620,23,571,0,21,0
C053,35,1308953,821953,17248,4,834,1,55,0
C054,30,1131702,317791,34217,9,667,0,52,0
C055,55,501546,155666,38736,10,754,3,70,0
C056,42,510870,513983,46857,15,790,3,29,0
C057,60,1115165,68930,17877,18,516,2,45,1
C058,44,1352446,1489826,24840,0,631,2,41,1
C059,36,862545,397338,44109,20,797,2,43,0
C060,47,1666131,389107,34815,24,671,2,71,0
C061,35,585797,661556,20199,24,545,1,15,1
C062,32,1010036,938116,19635,3,363,2,42,1
C063,58,1008662,1254298,30304,3,656,2,73,0
C064,41,1693543,1400940,37933,23,350,0,16,0
C065,35,565666,1082387,41656,21,785,3,65,0
C066,22,632434,991748,7533,12,636,1,70,1
